Study	Study Source
LAML	TCGA
ACC	TCGA
BLCA	TCGA
LGG	TCGA
BRCA	TCGA
CESC	TCGA
CHOL	TCGA
COAD	TCGA
ESCA	TCGA
GBM	TCGA
HNSC	TCGA
KICH	TCGA
KIRC	TCGA
KIRP	TCGA
LIHC	TCGA
LUAD	TCGA
LUSC	TCGA
DLBC	TCGA
MESO	TCGA
OV	TCGA
PAAD	TCGA
PCPG	TCGA
PRAD	TCGA
READ	TCGA
SARC	TCGA
SKCM	TCGA
STAD	TCGA
TGCT	TCGA
THYM	TCGA
THCA	TCGA
UCS	TCGA
UCEC	TCGA
UVM	TCGA
ADIPOSE_TISSUE	GTEx
MUSCLE	GTEx
BLOOD_VESSEL	GTEx
HEART	GTEx
OVARY	GTEx
UTERUS	GTEx
VAGINA	GTEx
BREAST	GTEx
SKIN	GTEx
SALIVARY_GLAND	GTEx
BRAIN	GTEx
ADRENAL_GLAND	GTEx
THYROID	GTEx
LUNG	GTEx
SPLEEN	GTEx
PANCREAS	GTEx
ESOPHAGUS	GTEx
STOMACH	GTEx
COLON	GTEx
SMALL_INTESTINE	GTEx
PROSTATE	GTEx
TESTIS	GTEx
NERVE	GTEx
PITUITARY	GTEx
BLOOD	GTEx
LIVER	GTEx
KIDNEY	GTEx
CERVIX_UTERI	GTEx
FALLOPIAN_TUBE	GTEx
BLADDER	GTEx
BONE_MARROW	GTEx
